ENODEB_ID,CELLID_PCELL,CARRIER_FREQ,RSRP_PCELL,RSRQ_PCELL,PCI_PCELL,LONGITUDE_25,LATITUDE_25,PAYLOAD_NGBR_DL_MB,PAYLOAD_NGBR_UL_MB,DL_NON_GBR_TPUT_KBPS,UL_NON_GBR_TPUT_KBPS,WB_CQI,SAMPLES_DENSITY
239310,61263367,1275,-102,-14,402,39.721617141914,43.6071325729233,0.001131,0.001348,1898,390,3,0.01
239310,61263367,1275,-102,-14.25,402,39.7213046876084,43.6075821001461,\N,\N,\N,\N,\N,0.02
239310,61263367,1275,-102,-14.5,402,39.7422391260829,43.6210679168294,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-102,-15,402,39.726928865109,43.6141002448764,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-102,-15.5,402,39.7313032253873,43.6134259540422,0.000091,0.00013,\N,\N,7,0.01
239310,61263367,1275,-102,-15.5,402,39.7434889433052,43.6055592276435,0.00327,0.006852,\N,1250,6,0.01
239310,61263367,1275,-102,-15.75,402,39.7297409538593,43.6203936259953,0.000305,0.000306,\N,642,6,0.04
239310,61263367,1275,-102,-16,402,39.7331779512208,43.6134259540422,0.03527,0.028016,3945,1205,4,0.01
239310,61263367,1275,-102,-16,402,39.739114583027,43.6176964626586,\N,\N,\N,\N,\N,0.02
239310,61263367,1275,-102,-16,402,39.7413017631661,43.616797408213,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-102,-16,402,39.7447387605276,43.6210679168294,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-102,-16.17,402,39.7419266717773,43.6176964626586,0.005191,0.006576,3013,535,6,0.12
239310,61263367,1275,-102,-16.5,402,39.7347402227487,43.6172469354358,0.017697,0.005845,9897,1362,6,0.01
239310,61263367,1275,-102,-16.5,402,39.7403644002493,43.6141002448764,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-102,-16.5,402,39.7419266717773,43.6172469354358,0.000093,0,\N,0,6,0.01
239310,61263367,1275,-102,-17,402,39.7203673246916,43.6125268995966,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-102,-17,402,39.7241167763587,43.6096049726486,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-102,-17,402,39.7297409538593,43.6149992993219,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-102,-17,402,39.7375523114991,43.6154488265447,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-102,-17.25,402,39.732240588304,43.621966971275,0.000061,0.000051,\N,216,8,0.02
239310,61263367,1275,-102,-17.5,402,39.7366149485823,43.616797408213,0.001308,0.000635,1372,761,3,0.01
239310,61263367,1275,-102,-17.5,402,39.7381772201102,43.612751663208,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-102,-17.5,402,39.7419266717773,43.6206183896067,0.000147,0.00008,1232,12,3,0.02
239310,61263367,1275,-102,-17.56,402,39.7406768545549,43.6183707534928,0.721979,0.188551,4157,1349,4,0.18
239310,61263367,1275,-102,-18,402,39.7197424160805,43.6053344640322,\N,\N,\N,\N,\N,0.01
